場所名稱,場所區域,場所地址,場所類型,AED放置地點,開放時間緊急連絡電話
邦特生物科技股份有限公司-宜蘭廠,蘇澳鎮,自強路5號,其他場所,廠辦大樓,03-9905409#106
宜蘭縣立文化國中,蘇澳鎮,新馬路2號,國中,健康中心,03-9903060#703
宜蘭縣立南安國中,蘇澳鎮,學府路117號,國中,1樓教行處,03-9962317
宜蘭縣立蘇澳國民中學,蘇澳鎮,中山路二段1號,國中,健康中心,03-9962137
宜蘭縣南安國民小學,蘇澳鎮,南建里學府路122號,國小,健康中心,0937-523884
宜蘭縣蘇澳鎮永樂國民小學,蘇澳鎮,永樂路1號,國小,健康中心,03-9962840#19
宜蘭縣蘇澳鎮育英國民小學,蘇澳鎮,福德路134號,國小,健康中心,03-9901294#231
宜蘭縣蘇澳鎮蓬萊國民小學,蘇澳鎮,南澳路85號,國小,行政大樓一樓辦公室內,03-9981062#107
宜蘭縣蘇澳鎮龍德社區發展協會,蘇澳鎮,福德路177巷27號,其他場所,正門進入靠近舞台右側,03-9904536
宜蘭縣蘇澳鎮蘇北社區發展協會,蘇澳鎮,蘇北里新生路8號,其他場所,蘇北社區活動中心,0912-299274
宜蘭縣蘇澳鎮蘇澳國民小學,蘇澳鎮,中山路一段366號,國小,健康中心,03-9962312#3004
武荖坑風景區,蘇澳鎮,武荖坑路75號,直轄市、縣(市)政府主管之風景區,遊客服務中心,03-9952852
南方澳遊客中心,蘇澳鎮,江夏路85號,直轄市、縣(市)政府主管之風景區,服務台,03-9953885
南澳農場,蘇澳鎮,朝陽里海岸路92號,直轄市、縣(市)政府主管之風景區,南澳農場遊客中心,03-9981114
國立蘇澳高級海事水產職業學校,蘇澳鎮,蘇港路213號,高中職,健康中心,03-9951661#331
國道五號蘇澳服務區,蘇澳鎮,蘇新路81號,高速公路服務區,一樓服務台旁,03-9595854
聖戈班先進材料股份有限公司龍德廠,蘇澳鎮,德興八路2號,其他場所,F樓辦公室,0932-359693
龍德車業有限公司,蘇澳鎮,蘇濱路三段1號,其他場所,辦公室,03-9906288
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,阿里史冷泉男裸湯,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,阿里史冷泉女裸湯,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,大眾池南側更衣室,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,大眾池北側更衣室,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,蘇澳冷泉2樓湯屋前,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,蘇澳冷泉1樓穿堂,03-9973421#374
蘇澳冷泉公園,蘇澳鎮,冷泉路6-4號,溫泉區,蘇澳冷泉個人湯屋,03-9973421#374
蘇澳港營運處,蘇澳鎮,港區1號,港區旅客服務區,蘇澳港遊客服務中心,03-9965121#258
蘇澳鎮立圖書館,蘇澳鎮,育才路6號,其他場所,服務台正前方,03-9951118
蘇澳鎮社會福利大樓,蘇澳鎮,隘丁路36號,其他場所,大門口左測,03-9973421#274
蘇澳鎮衛生所,蘇澳鎮,蘇西里志成路60號,其他場所,內科診療室門口旁,03-9962185#101
瓏山林蘇澳冷熱泉度假飯店,蘇澳鎮,中原路301號,旅館,飯店1F輕食餐廳,03-9966666
瓏山林蘇澳冷熱泉度假飯店,蘇澳鎮,中原路301號,旅館,飯店6F客用電梯旁,03-9966666
瓏山林蘇澳冷熱泉度假飯店,蘇澳鎮,中原路301號,旅館,飯店12F裸湯區櫃檯,03-9966666
瓏山林蘇澳冷熱泉度假飯店,蘇澳鎮,中原路301號,旅館,1F大眾水區,03-9966666
元智汽車股份有限公司 羅東服務廠,羅東鎮,純精路三段416號,其他場所,客休區,03-9530123
北成國小,羅東鎮,北成路一段125號,國小,北成國小健康中心,"0922-513458
0911-955751"
交通部臺灣鐵路管理局宜蘭運務段羅東站,羅東鎮,大新里公正路2號,台鐵車站,羅東火車站哺集乳室外,03-9542117
村却國際溫泉酒店,羅東鎮,站東路190號,旅館,5樓俱樂部,03-9057988#1010
村却國際溫泉酒店,羅東鎮,站東路190號,旅館,1樓大廳,03-9057988#1010
宜蘭縣立東光國中,羅東鎮,興東南路201號,國中,東光國中健康中心,03-9542603#310
宜蘭縣立國華國中,羅東鎮,國華街101號,國中,學務處辦公室內,03-9513062#301
宜蘭縣立羅東國民中學,羅東鎮,中華路99號,國中,羅東國中健康中心,03-9542075#307
宜蘭縣立體育場羅東遊客管理中心,羅東鎮,公正路666號,其他場所,羅東運動公園遊客中心,03-9254034#21
宜蘭縣私立瑪利亞日間照護中心,羅東鎮,北成路1段19號,其他場所,餐廳,03-9512060
宜蘭縣政府文化局羅東文化工場,羅東鎮,純精路一段96號,文化園區,服務台旁,03-9577440
宜蘭縣羅東鎮公所,羅東鎮,中興路3號,其他場所,羅東鎮公所入口大廳左側,03-9545102
宜蘭縣羅東鎮衛生所,羅東鎮,民生路79號,其他場所,大門口入後衛教櫥窗旁,03-9542321
香港商世界健身事業有限公司羅東分公司,羅東鎮,興東路85號,健身房,1樓客服櫃台旁,03-9540066
香港商世界健身事業有限公司羅東分公司,羅東鎮,興東路85號,健身房,5樓電梯左側,03-9540066
財團法人中國基督教靈糧世界佈道會蘭陽靈糧堂,羅東鎮,中正北路117號,其他場所,大樓內之二樓,03-9575604
國立羅東高級中學,羅東鎮,公正路324號,高中職,羅東高中行政大樓,03-9567645#217
國立羅東高級中學,羅東鎮,公正路324號,高中職,羅東高中游泳池,03-9567645#217
國立羅東高級商業職業學校,羅東鎮,中山路四段360號,高中職,警衛室,03-9512875#310
聖母醫護管理專科學校,羅東鎮,博愛路108號,大專院校,聖母護專羅東校區,0912-299060
臺灣宜蘭地方法院羅東辦公室,羅東鎮,仁愛路2段88號,法院,羅東辦公室大廳左側,03-9655550
羅東林業文化園區,羅東鎮,中正北路120巷8號,文化園區,遊客服務中心,03-9545114
羅東高級商業職業學校,羅東鎮,中山路四段360號,高中職,健康中心,03-9512875#310
羅東轉運站,羅東鎮,傳藝路三段218號,轉運站,轉運站內葛瑪蘭售票口旁,03-9567505
